REG_ANS;VL_SALDO_FINAL;ano;trimestre
361569;34450115.92;2025;1
361593;27711546.87;2025;1
361615;263721197.03;2025;1
361941;209648715.44;2025;1
362140;259253901.27;2025;1
362573;97915675.52;2025;1
362832;86408998.3;2025;1
363189;25438967.28;2025;1
363286;151973689.56;2025;1
363391;30419603.7;2025;1
363855;226662030.27;2025;1
364070;65017367.83;2025;1
364312;728120685.82;2025;1
364584;954936975.39;2025;1
364592;119873861.77;2025;1
364860;425398269.33;2025;1
365238;150616298.52;2025;1
365530;101076826.58;2025;1
365645;31722617.46;2025;1
365777;180522076.37;2025;1
365785;10342215.28;2025;1
366064;168631477.45;2025;1
366340;113895585.18;2025;1
366439;39494298.39;2025;1
366561;697157823.72;2025;1
367087;757802886.9;2025;1
367095;741359950.98;2025;1
367397;719283276.41;2025;1
367613;32502537.6;2025;1
368148;173054826.92;2025;1
368253;21738923842.29;2025;1
368555;58002231.05;2025;1
368920;227243411.67;2025;1
369292;826105554.91;2025;1
369411;474062969.18;2025;1
369659;1312064393.12;2025;1
370070;1294079958.3;2025;1
370088;152170586.98;2025;1
370568;18527207.64;2025;1
370592;47227991.15;2025;1
370681;420546063.42;2025;1
370711;13004852.27;2025;1
370975;129370420.57;2025;1
371106;451805746.6;2025;1
371254;1868445371.9;2025;1
371564;92974074.02;2025;1
371629;421103980.21;2025;1
371777;308498665.94;2025;1
372561;189981444.47;2025;1
372609;533672640.47;2025;1
374440;148687348.36;2025;1
378216;144351629.3;2025;1
379280;443288530.26;2025;1
379956;5123627811.22;2025;1
380661;955020085.21;2025;1
381144;12581938.69;2025;1
382281;11619429.79;2025;1
382540;280692895.56;2025;1
382639;4646002.46;2025;1
382655;14232689.67;2025;1
382876;5910567076.2;2025;1
384577;1852969152.91;2025;1
384704;66694451.39;2025;1
385255;353146788.27;2025;1
385620;126464898.05;2025;1
385697;1059565365.44;2025;1
386588;703485625.77;2025;1
386596;310195560.13;2025;1
386901;64934198.22;2025;1
387185;67909480.99;2025;1
388092;21968907.2;2025;1
389358;27843302.56;2025;1
389854;29590312.58;2025;1
390259;22491698.96;2025;1
392804;894217737.48;2025;1
393533;14248874.74;2025;1
394734;347766333.07;2025;1
395480;208446280.08;2025;1
397245;4446104.4;2025;1
401081;266867153.94;2025;1
401480;59443404.2;2025;1
402001;26706496.6;2025;1
402206;47366425.85;2025;1
402966;110842486.58;2025;1
403962;185107346.97;2025;1
404241;38882645.61;2025;1
406481;293882894.84;2025;1
406554;328251423.03;2025;1
406635;21650390.89;2025;1
406805;46492523.67;2025;1
406813;10785854.32;2025;1
406937;55419818.23;2025;1
406945;126684170.98;2025;1
407011;833841615.11;2025;1
407224;41826440.87;2025;1
407534;9366266.54;2025;1
407569;15631268.96;2025;1
408026;11851990.52;2025;1
408034;13095988.16;2025;1
408093;9817075.27;2025;1
408263;21791809.71;2025;1
408522;6417824.03;2025;1
408794;72377851.55;2025;1
409243;417243991.48;2025;1
409286;1706565.35;2025;1
409405;15385959.47;2025;1
409413;29424351.99;2025;1
409634;18033664.47;2025;1
409791;13582185.95;2025;1
410110;69755218.43;2025;1
410128;94094058.8;2025;1
410292;172601593.61;2025;1
410608;34115555.76;2025;1
410624;31106853.7;2025;1
410888;56081825.77;2025;1
411248;13157573.93;2025;1
411256;1019410877.79;2025;1
411582;132314937.14;2025;1
411752;762448021.74;2025;1
411809;25722099.22;2025;1
411868;23270643.9;2025;1
412015;9858388.81;2025;1
412058;86623963.3;2025;1
412252;58407974.27;2025;1
412295;171546816.61;2025;1
412635;106173386.88;2025;1
412759;110106451.65;2025;1
412996;26182419.27;2025;1
413160;106703791.05;2025;1
413267;7528137.5;2025;1
413283;17975756.59;2025;1
413330;82775465.95;2025;1
413372;56041760.79;2025;1
413429;47484281.57;2025;1
413518;40321941.18;2025;1
413534;2120840450.25;2025;1
413721;73593357.31;2025;1
413747;10025530.81;2025;1
414026;16667332.12;2025;1
414212;66616167.69;2025;1
414310;289091512.16;2025;1
414352;314773135.59;2025;1
414387;20702377.01;2025;1
414492;448781067.41;2025;1
414573;184672696.38;2025;1
414581;442162852.72;2025;1
414654;34615458.38;2025;1
414662;61732475.04;2025;1
414689;7798224.8;2025;1
414701;24995785.99;2025;1
414905;75233591.34;2025;1
414930;232522145.17;2025;1
415014;222061853.46;2025;1
415065;85208570.29;2025;1
415081;9529185.23;2025;1
415111;548467045.93;2025;1
415243;10827920.09;2025;1
415626;58161915.62;2025;1
415693;311871634.56;2025;1
415774;393574820.02;2025;1
415901;4421914.25;2025;1
415910;6398518.96;2025;1
415936;78239400.49;2025;1
415944;508215.17;2025;1
415987;13246311.97;2025;1
416398;168167113.12;2025;1
416401;494327381.45;2025;1
416410;113800.02;2025;1
416428;3488324352.61;2025;1
416495;156177650.16;2025;1
416525;32460499.67;2025;1
416568;479676910.0;2025;1
416584;107683145.47;2025;1
416690;185435488.12;2025;1
416738;196363336.29;2025;1
416789;1787206.56;2025;1
416801;225174568.35;2025;1
417050;872154.88;2025;1
417092;527495.04;2025;1
417106;6877565.31;2025;1
417131;5631373.17;2025;1
417165;1108956.24;2025;1
417173;38337426.68;2025;1
417211;135918199.77;2025;1
417220;7247947.36;2025;1
417289;55587767.72;2025;1
417297;221107790.52;2025;1
417301;11241208.55;2025;1
417424;24207009.01;2025;1
417459;3383970.88;2025;1
417475;22550195.16;2025;1
417491;12205327.51;2025;1
417505;1434098603.88;2025;1
417530;673525559.11;2025;1
417548;436737149.6;2025;1
417599;264308274.44;2025;1
417602;3147978.39;2025;1
417611;0.0;2025;1
417661;120551145.31;2025;1
417718;6268309.8;2025;1
417815;204482080.69;2025;1
417831;7740442.45;2025;1
417947;303468309.48;2025;1
417955;138942981.51;2025;1
418021;750562390.98;2025;1
418030;537705.4;2025;1
418072;14434400.0;2025;1
418129;13389843.56;2025;1
418137;72093020.13;2025;1
418161;0.0;2025;1
418170;825023325.97;2025;1
418218;8963952.32;2025;1
418226;28737455.91;2025;1
418285;90262570.39;2025;1
418374;303236403.57;2025;1
418501;29531503.73;2025;1
418552;7747448.4;2025;1
418587;128899408.87;2025;1
418595;1176836.53;2025;1
418617;93655585.59;2025;1
418650;357797080.76;2025;1
418706;55146.76;2025;1
418731;129480650.86;2025;1
418749;19702747.43;2025;1
418803;230856775.08;2025;1
418820;118349993.47;2025;1
418919;132755518.21;2025;1
418960;7360710.14;2025;1
418986;5495828.06;2025;1
418994;2002605.78;2025;1
419010;982131754.3;2025;1
419028;7011763.27;2025;1
419052;143247154.49;2025;1
419079;3727388.13;2025;1
419095;4280162.42;2025;1
419133;2279198719.53;2025;1
419141;263440855.46;2025;1
419150;123480476.63;2025;1
419249;992920167.58;2025;1
419257;0.0;2025;1
419281;28398213.62;2025;1
419290;15004667.36;2025;1
419354;1428203.0;2025;1
419389;2256476.36;2025;1
419419;97587661.6;2025;1
419427;123943117.99;2025;1
419443;11966977.02;2025;1
419486;151641154.65;2025;1
419516;93292271.42;2025;1
419524;4385821.46;2025;1
419567;28340.16;2025;1
419591;12976298.86;2025;1
419699;100007164.34;2025;1
419753;34906754.61;2025;1
419851;26179848.42;2025;1
419869;15000.0;2025;1
419958;78560538.51;2025;1
419974;24670140.87;2025;1
420000;154213874.88;2025;1
420051;8137521.6;2025;1
420077;524533038.13;2025;1
420085;47008196.98;2025;1
420093;11159100.38;2025;1
420107;966429.92;2025;1
420123;20913857.9;2025;1
420140;803000.0;2025;1
420158;224051665.77;2025;1
420166;342746363.87;2025;1
420701;66615551.25;2025;1
420786;60379566.33;2025;1
420816;7262684.95;2025;1
420841;2859137.17;2025;1
420859;9619300.72;2025;1
420930;6419558.38;2025;1
420981;18284789.74;2025;1
420999;7630254.9;2025;1
421006;151291982.96;2025;1
421146;20000.0;2025;1
421154;130670014.39;2025;1
421189;10182264.74;2025;1
421197;221858510.38;2025;1
421341;221634802.72;2025;1
421359;37125209.54;2025;1
421367;16255373.89;2025;1
421375;29350.0;2025;1
421405;63627083.38;2025;1
421421;547782683.26;2025;1
421561;2382352.87;2025;1
421618;12657849.05;2025;1
421634;14213403.57;2025;1
421642;18854.98;2025;1
421707;33881283.92;2025;1
421715;3766563529.89;2025;1
421723;4920517.16;2025;1
421731;112203787.76;2025;1
421766;121832191.87;2025;1
421871;24846712.69;2025;1
421928;898451972.85;2025;1
421944;134090516.36;2025;1
422029;640301317.86;2025;1
422053;78215520.51;2025;1
422070;133830437.1;2025;1
422088;15263814.37;2025;1
422126;6252400.3;2025;1
422134;4026725.55;2025;1
422151;40403007.24;2025;1
422304;16074367.06;2025;1
422321;147881913.22;2025;1
422339;832112608.48;2025;1
422355;11867774.87;2025;1
422371;65600756.53;2025;1
422398;228278662.91;2025;1
422401;0.0;2025;1
422479;1742425.92;2025;1
422487;6392840.81;2025;1
422576;76924.06;2025;1
422584;57830048.93;2025;1
422592;0.0;2025;1
422631;2111154728.11;2025;1
422681;251428892.22;2025;1
422746;5297453.22;2025;1
422754;2228410.19;2025;1
422762;40448858.89;2025;1
422771;164710389.26;2025;1
422827;59420421.04;2025;1
422835;34177177.03;2025;1
422941;-5667.83;2025;1
422959;12068920.5;2025;1
423017;0.0;2025;1
423041;193534.06;2025;1
423173;660576934.03;2025;1
423181;2988501.66;2025;1
423203;16296718.36;2025;1
423262;4427739.41;2025;1
423319;119328557.92;2025;1
423327;67.0;2025;1
423335;110400644.37;2025;1
423351;56148789.39;2025;1
423408;5728092.95;2025;1
423432;7732192.69;2025;1
423505;11572046.86;2025;1
423548;23331496.31;2025;1
423564;2783740.57;2025;1
423572;149052.28;2025;1
423629;38980671.33;2025;1
423645;1608986.27;2025;1
423661;174321693.66;2025;1
423700;113499.8;2025;1
423718;50783248.7;2025;1
423742;0.0;2025;1
423815;98557.55;2025;1
423858;0.0;2025;1
423912;1044123.14;2025;1
424048;6641265.76;2025;1
424129;139690.87;2025;1
424145;14845.58;2025;1
424161;0.0;2025;1
424170;1996040.61;2025;1
424421;406552.0;2025;1
515;111927627.43;2025;2
582;26358171312.29;2025;2
701;22505338245.42;2025;2
884;1607118453.21;2025;2
5711;167235113374.87;2025;2
6246;127313811733.5;2025;2
300136;500783060.46;2025;2
300713;527533939.39;2025;2
300730;17714992.98;2025;2
300870;107510690.56;2025;2
301060;259830145.97;2025;2
301124;172764744.25;2025;2
301574;913061343.98;2025;2
301728;284838417.05;2025;2
301744;312476144.46;2025;2
301949;4173187015.49;2025;2
302147;22338605789.36;2025;2
302228;115748082.02;2025;2
302627;184040239.16;2025;2
302953;1873287811.72;2025;2
303178;291179587.79;2025;2
303267;1801421422.62;2025;2
303356;2329271584.05;2025;2
303623;3201714017.84;2025;2
303739;843697698.36;2025;2
303844;217284693.28;2025;2
303976;6464935761.5;2025;2
304051;650383517.37;2025;2
304123;221763858.21;2025;2
304131;459107158.08;2025;2
304212;61883938.85;2025;2
304344;386169705.03;2025;2
304395;498666638.71;2025;2
304441;95118331.6;2025;2
304468;531424014.5;2025;2
304484;310384743.44;2025;2
304531;45443051.61;2025;2
304701;14681698072.45;2025;2
304883;977645233.57;2025;2
305227;406638254.14;2025;2
305421;18864705.68;2025;2
305472;425482742.45;2025;2
305626;159736076.2;2025;2
305928;31586742.64;2025;2
306045;40096154.87;2025;2
306100;641911534.24;2025;2
306126;726574559.99;2025;2
306398;2483629228.55;2025;2
306754;188713690.4;2025;2
306762;726378083.09;2025;2
306886;2338457216.94;2025;2
307319;1114317177.3;2025;2
307751;528303079.99;2025;2
308811;157638871.67;2025;2
309028;120337730.31;2025;2
309087;361252593.27;2025;2
309222;9166487973.86;2025;2
309524;127332299.25;2025;2
309907;675902615.4;2025;2
310239;103713855.18;2025;2
310247;1092692979.74;2025;2
310522;851124088.88;2025;2
310981;83853522.12;2025;2
311057;27125193.33;2025;2
311146;276027551.65;2025;2
311294;695474936.88;2025;2
311359;360320353.33;2025;2
311375;838490048.77;2025;2
311391;48570620.96;2025;2
311618;447691698.6;2025;2
311715;605739865.57;2025;2
311847;1426192054.16;2025;2
311944;132689668.14;2025;2
311961;1034708226.83;2025;2
312126;9129305717.67;2025;2
312282;176421041.58;2025;2
312347;701224453.92;2025;2
312363;21765546586.52;2025;2
312592;502120662.92;2025;2
312720;2867279417.99;2025;2
312851;3705653488.31;2025;2
313084;243205213.67;2025;2
313149;47955329.75;2025;2
313211;549199368.37;2025;2
313475;56614425.01;2025;2
313751;170722954.56;2025;2
314099;959563011.1;2025;2
314218;2761177775.01;2025;2
314242;181880943.2;2025;2
314251;299297294.48;2025;2
314315;55080412.45;2025;2
314366;19670767.24;2025;2
314587;186853995.29;2025;2
314668;908659390.25;2025;2
314706;56169407.5;2025;2
314781;127674635.05;2025;2
315044;940224663.74;2025;2
315265;346353806.97;2025;2
315478;6604940302.79;2025;2
315494;162730995.65;2025;2
315567;705383854.67;2025;2
315583;145199021.26;2025;2
315648;187445262.19;2025;2
315729;2592690539.19;2025;2
315796;1908900037.46;2025;2
316148;510419586.25;2025;2
